ASIN,filename,image_url,title,author,category_id,category
199603936,0199603936.jpg,http://ecx.images-amazon.com/images/I/515R9hBvo1L.jpg,The Palestinian-Israeli Conflict: A Very Short Introduction (Very Short Introductions),Martin Bunton,12,History
977292711,0977292711.jpg,http://ecx.images-amazon.com/images/I/61UkjLy9XEL.jpg,TV Guide The Official Collectors Guide: Celebrating An Icon,,8,"Crafts, Hobbies & Home"
743234669,0743234669.jpg,http://ecx.images-amazon.com/images/I/51ta30BI4xL.jpg,Standing in the Need of Prayer: A Celebration of Black Prayer,Schomburg Ctr for Resrch in Black Cultur,21,Religion & Spirituality
1847739725,1847739725.jpg,http://ecx.images-amazon.com/images/I/51gWbKc6GDL.jpg,"Mauritius Travel Pack, 7th (Globetrotter Travel Packs)",Martine Maurel,29,Travel
809298767,0809298767.jpg,http://ecx.images-amazon.com/images/I/51EVPEDV44L.jpg,"Women's Golf Shorts : 1,001 Hole-in-One-Liners by and About Women in Golf",Glenn Liebman,13,Humor & Entertainment
1938077202,1938077202.jpg,http://ecx.images-amazon.com/images/I/51ddgAakrWL.jpg,Prospect Research Is a Verb: Fundraising Is the Subject (In the Trenches),Meredith Hancks,19,Politics & Social Sciences
692270256,0692270256.jpg,http://ecx.images-amazon.com/images/I/41nUDJlt7hL.jpg,A Brief History of Innkeeping in the 21st Century,Shawn Kerivan,29,Travel
1419716166,1419716166.jpg,http://ecx.images-amazon.com/images/I/61RpmPG4vRL.jpg,French Country 2016 Wall Calendar,Linda Dannenberg,3,Calendars
520080149,0520080149.jpg,http://ecx.images-amazon.com/images/I/41PBJRJXAKL.jpg,"The Long Peace: Ottoman Lebanon, 1861-1920",Engin Akarli,12,History
1457303175,1457303175.jpg,http://ecx.images-amazon.com/images/I/516grCkn6PL.jpg,Book of Majors 2015 (College Board Book of Majors),The College Board,31,Education & Teaching
807859583,0807859583.jpg,http://ecx.images-amazon.com/images/I/512-TwZIjvL.jpg,A Failed Empire: The Soviet Union in the Cold War from Stalin to Gorbachev (The New Cold War History),Vladislav M. Zubok,12,History
122740556,0122740556.jpg,http://ecx.images-amazon.com/images/I/515wacgLxVL.jpg,The Human Retroviruses,,16,Medical Books
868522341,0868522341.jpg,http://ecx.images-amazon.com/images/I/516dDdN-NDL.jpg,The Sheltering Desert: A Classic Tale of Escape and Survival in the Namib Desert,Henno Martin,29,Travel
807124168,0807124168.jpg,http://ecx.images-amazon.com/images/I/71RF3GJD6ML.gif,The Booklover's Guide to New Orleans,Susan Larson,29,Travel
1502900165,1502900165.jpg,http://ecx.images-amazon.com/images/I/51s3zN9kWtL.jpg,Atkins Diet: The Atkins Diet and Simple Atkins Recipes (Atkins Diet Cookbook),Gordon Rock,11,"Health, Fitness & Dieting"
1416066268,1416066268.jpg,http://ecx.images-amazon.com/images/I/41OxyN40BIL.jpg,"Physical Therapy for Children, 4e",Suzann K. Campbell PT  PhD  FAPTA,16,Medical Books
1609012402,1609012402.jpg,http://ecx.images-amazon.com/images/I/41Y7MUUE79L.jpg,Draping for Apparel Design,Helen Joseph-Armstrong,13,Humor & Entertainment
930625196,0930625196.jpg,http://ecx.images-amazon.com/images/I/71N69X678ZL.gif,Bears and Dolls in Advertising: Guide to Collectible Characters and Critters,Robert Reed,8,"Crafts, Hobbies & Home"
1619963558,1619963558.jpg,http://ecx.images-amazon.com/images/I/51%2BPzJ0XXcL.jpg,Restoring God's People Back to the Roots of Biblical Faith,Deeanna Koven,9,Christian Books & Bibles
1479845868,1479845868.jpg,http://ecx.images-amazon.com/images/I/51YC6eDIKFL.jpg,A Taste for Brown Bodies: Gay Modernity and Cosmopolitan Desire (Sexual Cultures),Hiram P̩rez,30,Gay & Lesbian
098378471X,098378471X.jpg,http://ecx.images-amazon.com/images/I/515hsHnHTSL.jpg,Build Your Own Solar Panel: Generate Electricity from the Sun.,Phillip Hurley,23,Science & Math
801991226,0801991226.jpg,http://ecx.images-amazon.com/images/I/51SHah2L45L.jpg,"Volkswagen Golf, Jetta, and Cabriolet, 1990-98 (Haynes Repair Manuals)",Chilton,10,Engineering & Transportation
736092846,0736092846.jpg,http://ecx.images-amazon.com/images/I/51gA5XJ6zfL.jpg,Open Water Swimming,Steven Munatones,11,"Health, Fitness & Dieting"
1426211767,1426211767.jpg,http://ecx.images-amazon.com/images/I/61275luadpL.jpg,Bear: Spirit of the Wild,Paul Nicklen,0,Arts & Photography
824700503,0824700503.jpg,http://ecx.images-amazon.com/images/I/51%2BeHs-j2FL.jpg,"Handbook of Conducting Polymers, 2nd Revised and Expanded Edition",,23,Science & Math
634047361,0634047361.jpg,http://ecx.images-amazon.com/images/I/41agkoe%2B6wL.jpg,"The Easy Hymn Fake Book: Over 150 Hymns in the Key of ""C""",,9,Christian Books & Bibles
1480102768,1480102768.jpg,http://ecx.images-amazon.com/images/I/419E0xgRvDL.jpg,Ancient Book of Enoch,Ken Johnson,9,Christian Books & Bibles
1879181746,1879181746.jpg,http://ecx.images-amazon.com/images/I/51Kzr7g2HuL.jpg,"Liquid Light of Sex: Kundalini, Astrology, and the Key Life Transitions",Barbara Hand Clow,21,Religion & Spirituality
1780766238,1780766238.jpg,http://ecx.images-amazon.com/images/I/31CbrHEQaOL.jpg,"History of Water, A, Series II, Three volume set",Terje Tvedt,23,Science & Math
292744927,0292744927.jpg,http://ecx.images-amazon.com/images/I/61Hbi8YFFzL.jpg,"Dancing the New World: Aztecs, Spaniards, and the Choreography of Conquest",Paul A. Scolieri,12,History
1426210167,1426210167.jpg,http://ecx.images-amazon.com/images/I/51%2BWPjLMKoL.jpg,"The Call of Everest: The History, Science, and Future of the World's Tallest Peak",Conrad Anker,23,Science & Math
226342441,0226342441.jpg,http://ecx.images-amazon.com/images/I/514%2BVA4TzwL.jpg,Making the Second Ghetto: Race and Housing in Chicago 1940-1960 (Historical Studies of Urban America),Arnold R. Hirsch,14,Law
1935660179,1935660179.jpg,http://ecx.images-amazon.com/images/I/51DmMlNyrAL.jpg,Clinical Psychopharmacology Made Ridiculously Simple (Medmaster),John Preston,16,Medical Books
670858684,0670858684.jpg,http://ecx.images-amazon.com/images/I/51XCHN1XV4L.jpg,The Complete Book of House Plants: A Practical Guide to Selecting and Caring for Houseplants,John Evans,8,"Crafts, Hobbies & Home"
3642139191,3642139191.jpg,http://ecx.images-amazon.com/images/I/41xvMoUdLeL.jpg,Push-Pull Tests for Site Characterization (Lecture Notes in Earth System Sciences),Jonathan David Istok,23,Science & Math
789739542,0789739542.jpg,http://ecx.images-amazon.com/images/I/51EcbJFlqsL.jpg,Upgrading and Repairing PCs (19th Edition),Scott Mueller,6,Computers & Technology
345508610,0345508610.jpg,http://ecx.images-amazon.com/images/I/51wL8sIkY0L.jpg,"Play Their Hearts Out: A Coach, His Star Recruit, and the Youth Basketball Machine",George Dohrmann,26,Sports & Outdoors
761174869,0761174869.jpg,http://ecx.images-amazon.com/images/I/41JGAIb2J6L.jpg,"Mother to Son, Revised Edition: Shared Wisdom from the Heart",Melissa Harrison,13,Humor & Entertainment
1592237843,1592237843.jpg,http://ecx.images-amazon.com/images/I/51-FMuDvK-L.jpg,Uncle John's Bathroom Reader Plunges into National Parks,Bathroom Readers' Hysterical Society,20,Reference
1884836917,1884836917.jpg,http://ecx.images-amazon.com/images/I/518xePsmzpL.jpg,"European Capital, British Iron, And An American Dream (Series on Ohio History and Culture)",Peter Gifford,10,Engineering & Transportation
1935302493,1935302493.jpg,http://ecx.images-amazon.com/images/I/41bKaVsDxFL.jpg,Catholic Scripture Study Bible: RSV-CE Large Print Edition,,21,Religion & Spirituality
B00C38PGQ0,B00C38PGQ0.jpg,http://ecx.images-amazon.com/images/I/4157PIf8jlL.jpg,"The 2013 Import and Export Market for Printed Books, Pamphlets, Maps, and Globes Excluding Advertising Material in Lebanon",Icon Group International,29,Travel
1564581284,1564581284.jpg,http://ecx.images-amazon.com/images/I/512S8387AGL.jpg,Rabbit (ASPCA Pet Care Guides for Kids),Mark Evans,8,"Crafts, Hobbies & Home"
067165716X,067165716X.jpg,http://ecx.images-amazon.com/images/I/41uI0E5Ke5L.jpg,The Jesuits,Malachi Martin,9,Christian Books & Bibles
978990609,0978990609.jpg,http://ecx.images-amazon.com/images/I/215TC9WVQDL.jpg,ONE - The Unified Gospel of Jesus - Divine Version,Gregg R. Zegarelli,8,"Crafts, Hobbies & Home"
1577666860,1577666860.jpg,http://ecx.images-amazon.com/images/I/51ulHKkwiAL.jpg,Our Global Environment: A Health Perspective,Anne Nadakavukaren,23,Science & Math
1592288502,1592288502.jpg,http://ecx.images-amazon.com/images/I/51793Y5TYJL.jpg,"A Young Softball Player's Guide to Hitting, Bunting, and Baserunning (Young Player's)",Don Oster,26,Sports & Outdoors
804125767,0804125767.jpg,http://ecx.images-amazon.com/images/I/51DITiCA11L.jpg,"Cracking the SAT Spanish Subject Test, 15th Edition (College Test Preparation)",Princeton Review,28,Test Preparation
471522155,0471522155.jpg,http://ecx.images-amazon.com/images/I/516iqYAFGXL.jpg,Money Management Strategies for Futures Traders,Nauzer J. Balsara,2,Business & Money
1614270007,1614270007.jpg,http://ecx.images-amazon.com/images/I/51RyErPbmuL.jpg,Passing,Nella Larsen,15,Literature & Fiction
714866105,0714866105.jpg,http://ecx.images-amazon.com/images/I/31hRoooN3vL.jpg,Wallpaper* City Guide Prague (Wallpaper City Guides),,29,Travel
1231145552,1231145552.jpg,http://ecx.images-amazon.com/images/I/41UQtGnSLaL.jpg,The adventures of Capt. Greenland Volume 4,William Goodall,12,History
323019536,0323019536.jpg,http://ecx.images-amazon.com/images/I/51DTS6MDFSL.jpg,"All-in-One Care Planning Resource: Medical-Surgical, Pediatric, Maternity, and Psychiatric Nursing Care Plans",Pamela L. Swearingen,16,Medical Books
1454703504,1454703504.jpg,http://ecx.images-amazon.com/images/I/61rP6vtOBQL.jpg,"Paper Blooms: 25 Extraordinary Flowers to Make for Weddings, Celebrations & More",Jeffery Rudell,8,"Crafts, Hobbies & Home"
1908072954,1908072954.jpg,http://ecx.images-amazon.com/images/I/61Ywwh%2BR94L.jpg,Autumn Garden: Colouring Book,De-ann Black,8,"Crafts, Hobbies & Home"
830744983,0830744983.jpg,http://ecx.images-amazon.com/images/I/51RzpHWTa1L.jpg,"Baby Beginnings Nursery Smart Pages: Your Guide to launching your church nursery from babysitting mode to effective ministry to young families! Plan, equip, inspire, train!",Gospel Light,9,Christian Books & Bibles
039305778X,039305778X.jpg,http://ecx.images-amazon.com/images/I/51K38JGB9NL.jpg,Women Seeing Women: From the Early Days of Photography to the Present,,0,Arts & Photography
982933606,0982933606.jpg,http://ecx.images-amazon.com/images/I/515cuSXPC5L.jpg,Your Thyroid Problems Solved,Dr. Sandra Cabot,11,"Health, Fitness & Dieting"
760332606,0760332606.jpg,http://ecx.images-amazon.com/images/I/61U7fmpkOJL.jpg,Railroad Rolling Stock (Gallery),Steve Barry,10,Engineering & Transportation
132252449,0132252449.jpg,http://ecx.images-amazon.com/images/I/21VRMGE68XL.jpg,Urban Economics and Real Estate Markets,Denise DiPasquale,2,Business & Money
756615186,0756615186.jpg,http://ecx.images-amazon.com/images/I/51FGqthdVZL.jpg,My First Touch & Feel Picture Cards: First Words (My 1st T&F Picture Cards),DK,4,Children's Books
385342039,0385342039.jpg,http://ecx.images-amazon.com/images/I/51aekdnYFiL.jpg,Twenties Girl: A Novel,Sophie Kinsella,15,Literature & Fiction
1559394463,1559394463.jpg,http://ecx.images-amazon.com/images/I/51NNXbfEk%2BL.jpg,Tibetan Zen: Discovering a Lost Tradition,Sam van Schaik,21,Religion & Spirituality
1943494045,1943494045.jpg,http://ecx.images-amazon.com/images/I/51t99rZ6TAL.jpg,Species with Amnesia: Our Forgotten History,Robert Sepehr,21,Religion & Spirituality
913094560,0913094560.jpg,http://ecx.images-amazon.com/images/I/41XgTrUokhL.jpg,Private Independent Schools 2003,Peter Bunting,28,Test Preparation
3707911721,3707911721.jpg,http://ecx.images-amazon.com/images/I/51WT%2Bi3YMCL.jpg,"Vatican City Pocket Map 1:2.5K (English, Italian and German Edition)",Freytag Berndt,29,Travel
